node_id,initial_energy,remaining_energy,lifetime
0,100,8.41146,300
1,100,0,263.073
2,100,9.45757,300
3,100,9.65172,300
4,100,9.84099,300
5,100,0,249.356
6,100,0,276.73
7,100,3.52439,300
8,100,9.13964,300
9,100,9.20317,300
10,100,0,287.812
11,100,4.45708,300
12,100,7.99456,300
13,100,9.14361,300
14,100,9.53486,300
15,100,9.7257,300
16,100,9.18525,300
17,100,9.14879,300
18,100,9.18126,300
19,100,9.17899,300
20,100,9.87101,300
21,100,9.22058,300
22,100,9.65683,300
23,100,9.68877,300
24,100,9.84014,300
