node_id,initial_energy,remaining_energy,lifetime
0,100,8.58542,300
1,100,0,296.517
2,100,9.4386,300
3,100,9.18487,300
4,100,9.86154,300
5,100,0,272.997
6,100,0,282.354
7,100,2.31801,300
8,100,8.82886,300
9,100,9.68236,300
10,100,0,284.529
11,100,1.06426,300
12,100,2.33604,300
13,100,8.81357,300
14,100,9.63904,300
15,100,9.53354,300
16,100,0.448114,300
17,100,3.0629,300
18,100,9.16,300
19,100,9.18082,300
20,100,9.87165,300
21,100,0,289.017
22,100,5.10143,300
23,100,9.67734,300
24,100,9.85188,300
